source_file,participant_uuid,study,study_version,collection_mode,prolific_pid,prolific_study_id,prolific_session_id,assignment_source,item_route,local_condition_id,global_condition_id,item,prior,qud,utterance_id,utterance_family,utterance_polarity,is_implicative,consent_given,consent_rt_ms,instructions_rt_ms,ratings_rt_ms,rating_order,try_rating,try_rating_01,completion_rating,completion_rating_01,naturalness_rating,naturalness_rating_01,demographics_rt_ms,age,gender,education,native_language,country,screening_reasons,screening_status,analysis_exclusion_reasons,analysis_status,data_schema_version
record_000003.json,U000827,main-experiment,main-experiment-photo-1.2.0,main,P001283,S000002,T001222,datapipe-sequential-photo,photo,22,22,photo,low,P?,tried,try,positive,False,True,13768,5001,62312,TRY?|P?|NAT,68,0.68,25,0.25,35,0.35,22599,41,woman,some-college,english-only,united-states,,include,,include,main-exp-1.0.0
record_000004.json,U001233,main-experiment,main-experiment-photo-1.2.0,main,P000865,S000002,T001183,datapipe-sequential-photo,photo,29,29,photo,low,TRY?,didnt,simple,negative,False,True,13632,6820,72036,TRY?|P?|NAT,11,0.11,11,0.11,76,0.76,33329,61,man,associate,english-only,united-states,,include,,include,main-exp-1.0.0
record_000006.json,U001236,main-experiment,main-experiment-photo-1.2.0,main,P000807,S000002,T000662,datapipe-sequential-photo,photo,5,5,photo,high,P?,didnt,simple,negative,False,True,175040,4704,36038,P?|TRY?|NAT,82,0.82,10,0.1,32,0.32,11327,24,man,bachelor,english-only,united-kingdom,,include,,include,main-exp-1.0.0
record_000007.json,U001276,main-experiment,main-experiment-photo-1.2.0,main,P000999,S000002,T000124,datapipe-sequential-photo,photo,4,4,photo,high,P?,did,simple,positive,False,True,3790,13380,167811,P?|TRY?|NAT,38,0.38,36,0.36,69,0.69,18862,63,woman,some-college,english-only,united-states,,include,,include,main-exp-1.0.0
record_000010.json,U000565,main-experiment,main-experiment-photo-1.2.0,main,P000963,S000002,T000055,datapipe-sequential-photo,photo,26,26,photo,low,TRY?,failed,fail,positive,True,True,56817,5886,62220,TRY?|P?|NAT,0,0.0,0,0.0,27,0.27,20180,60,woman,bachelor,english-only,united-kingdom,,include,,include,main-exp-1.0.0
record_000014.json,U001286,main-experiment,main-experiment-photo-1.2.0,main,P000474,S000002,T000120,datapipe-sequential-photo,photo,7,7,photo,high,P?,didnt_try,try,negative,False,True,2745,3494,26017,TRY?|P?|NAT,5,0.05,11,0.11,76,0.76,13885,43,man,master,english-only,united-states,,include,,include,main-exp-1.0.0
record_000019.json,U001255,main-experiment,main-experiment-photo-1.2.0,main,P000656,S000002,T000065,datapipe-sequential-photo,photo,28,28,photo,low,TRY?,did,simple,positive,False,True,13121,8951,103707,P?|TRY?|NAT,80,0.8,80,0.8,65,0.65,18315,29,woman,bachelor,english-only,united-states,,include,,include,main-exp-1.0.0
record_000021.json,U000048,main-experiment,main-experiment-photo-1.2.0,main,P000469,S000002,T001111,datapipe-sequential-photo,photo,9,9,photo,high,TRY?,didnt_manage,manage,negative,True,True,3019,5248,38943,TRY?|P?|NAT,77,0.77,6,0.06,20,0.2,14147,32,man,bachelor,english-only,united-kingdom,,include,,include,main-exp-1.0.0
record_000025.json,U000592,main-experiment,main-experiment-photo-1.2.0,main,P000869,S000002,T001196,datapipe-sequential-photo,photo,3,3,photo,high,P?,didnt_fail,fail,negative,True,True,3602,1126,69505,P?|TRY?|NAT,71,0.71,68,0.68,54,0.54,22717,20,woman,associate,english-and-other,united-kingdom,,include,,include,main-exp-1.0.0
record_000026.json,U000713,main-experiment,main-experiment-photo-1.2.0,main,P000582,S000002,T001232,datapipe-sequential-photo,photo,4,4,photo,high,P?,did,simple,positive,False,True,27670,6565,81883,TRY?|P?|NAT,75,0.75,81,0.81,57,0.57,19818,32,man,some-college,english-only,united-kingdom,,include,,include,main-exp-1.0.0
